Human_Gene	Uniprot_GO_SUM
LHX5	Nucleus
LHX6	Nucleus
LHX8	Nucleus
LHX9	Nucleus
LIAS	Mitochondrion
LIFR	PM
LIG1	Nucleus
LIG4	Nucleus
LILRA1	PM
LILRA5	PM
LILRB3	PM
LILRB4	PM
LIMA1	CS
LIME1	PM
LIMS3	cytosol
LIN37	Nucleus
LIN52	Nucleus
LIN54	Nucleus
LIN9	Nucleus
LINGO1	PM
LIPA	lysosome
LIPE	cytosol
LIPF	Mitochondrion
LIPT1	Mitochondrion
LIPT2	Mitochondrion
LIX1	cytosol
LIX1L	cytosol
LLPH	Nucleus
LMBR1L	PM
LMBRD1	lysosome
LMF1	ER
LMF2	ER
LMO1	Nucleus
LMO2	Nucleus
LMO3	cytosol
LMOD1	CS
LMOD2	CS
LMOD3	CS
LMX1A	Nucleus
LMX1B	Nucleus
LNP	ER
LNX1	cytosol
LONP1	Mitochondrion
LONP2	Peroxisome
LOXHD1	CS
LPAR3	PM
LPAR4	PM
LPAR5	PM
LPAR6	PM
LPCAT3	ER
LPCAT4	ER
LPGAT1	ER
LPIN3	Nucleus
LPPR1	PM
LPPR2	PM
LPPR3	PM
LPPR4	PM
LPPR5	PM
LRIF1	Nucleus
LRIT1	ER
LRIT3	ER
LRP11	PM
LRP12	PM
LRP2BP	cytosol
LRP5	ER
LRP5L	PM
LRRC10	Nucleus
LRRC18	cytosol
LRRC26	CS
LRRC32	PM
LRRC38	PM
LRRC3DN	Nucleus
LRRC45	CS
LRRC48	CS
LRRC49	CS
LRRC52	PM
LRRC55	PM
LRRC6	CS
LRRC75A-AS1	Mitochondrion
LRRC8A	PM
LRRK1	cytosol
LRRN4	PM
LRSAM1	CS
LRTOMT	cytosol
LSAMP	PM
LSM1	Nucleus
LSM10	Nucleus
LSM11	Nucleus
LSM14B	Nucleus
LSM2	Nucleus
LSM3	Nucleus
LSM4	Nucleus
LSM5	Nucleus
LSM7	Nucleus
LSM8	Nucleus
LSR	PM
LSS	ER
LTA4H	cytosol
LTB4R	PM
LTB4R2	PM
LTBR	PM
LTK	PM
LUC7L2	Nucleus
LUC7L3	Nucleus
LURAP1	cytosol
LUZP1	Nucleus
LXN	cytosol
LY6D	PM
LY6E	PM
LY6G6C	PM
LY6G6D	PM
LY6G6F	PM
LY6H	PM
LY75	PM
LY9	PM
LYAR	Nucleus
LYL1	Nucleus
LYPD1	PM
LYPD2	PM
LYPD3	PM
LYPD4	PM
LYPD5	PM
LYPD6B	PM
LYPD8	PM
LYPLA1	cytosol
LYPLA2	cytosol
LYPLAL1	cytosol
LYRM1	Nucleus
LYRM2	Mitochondrion
LYRM5	Mitochondrion
LYRM7	Mitochondrion
LYST	cytosol
LYVE1	PM
LZTFL1	cytosol
LZTR1	Golgi
LZTS2	CS
M1AP	cytosol
M6PR	lysosome
MAATS1	Mitochondrion
MAB21L1	Nucleus
MAB21L2	Nucleus
MACROD1	Nucleus
MACROD2	Nucleus
MADCAM1	PM
MAF	Nucleus
MAFA	Nucleus
MAFB	Nucleus
MAFF	Nucleus
MAFG	Nucleus
MAFK	Nucleus
MAGEA10	Nucleus
MAGEA3	ER
MAGEB18	cytosol
MAGEH1	cytosol
MAGOHB	Nucleus
MAGT1	PM
MAK16	Nucleus
MAMDC2	ER
MAML3	Nucleus
MAMLD1	Nucleus
MAMSTR	Nucleus
MAN1A1	Golgi
MAN1A2	Golgi
MAN1B1	ER
MAN1C1	Golgi
MAN2A1	Golgi
MAN2A2	Golgi
MAN2B1	lysosome
MANBA	lysosome
MANEA	Golgi
MANEAL	Golgi
MAOA	Mitochondrion
MAP1A	CS
MAP1B	CS
MAP2	CS
MAP3K1	CS
MAP3K10	cytosol
MAP3K11	CS
MAP3K14	cytosol
MAP3K19	cytosol
MAP3K3	cytosol
MAP3K5	cytosol
MAP3K8	cytosol
MAP4	CS
MAP4K3	cytosol
MAP4K4	cytosol
MAP4K5	cytosol
MAP7D1	CS
MAP7D2	CS
MAPK13	cytosol
MAPK8IP3	cytosol
MAPRE1	CS
MAPRE2	CS
MAPRE3	CS
MARC1	Mitochondrion
MARH4	Golgi
MARH6	ER
MARK3	PM
MARK4	CS
MARS	cytosol
MARS_2	Mitochondrion
MAS1	PM
MAS1L	PM
MAST4	cytosol
MAT1A	cytosol
MAT2A	cytosol
MATR3	Nucleus
MAU2	Nucleus
MAZ	Nucleus
MB21D1	cytosol
MBD2	Nucleus
MBD3	Nucleus
MBD3L1	Nucleus
MBD3L2	Nucleus
MBD3L3	Nucleus
MBD3L4	Nucleus
MBD3L5	Nucleus
MBD4	Nucleus
MBD5	Nucleus
MBD6	Nucleus
MBOAT1	ER
MBOAT2	ER
MBOAT4	ER
MBOAT7	ER
MBTD1	Nucleus
MC1R	PM
MC2R	PM
MC3R	PM
MC4R	PM
MC5R	PM
MCAT	Mitochondrion
MCCC1	Mitochondrion
MCCC2	Mitochondrion
MCCD1	Mitochondrion
MCEE	Mitochondrion
MCHR1	PM
MCHR2	PM
MCIDAS	Nucleus
MCM2	Nucleus
MCM3	Nucleus
MCM4	Nucleus
MCM5	Nucleus
MCM6	Nucleus
MCM7	Nucleus
MCM8	Nucleus
MCM9	Nucleus
MCMBP	Nucleus
MCOLN2	PM
MCPH1	CS
MCRS1	Nucleus
MCTP1	ER
MCU	Mitochondrion
MCUR1	Mitochondrion
MDGA1	PM
MDGA2	PM
MDH1	cytosol
MDH2	Mitochondrion
MDM4	Nucleus
MDN1	Nucleus
ME1	cytosol
ME2	Mitochondrion
ME3	Mitochondrion
MEA1	cytosol
MEAF6	Nucleus
MECOM	Nucleus
MED1	Nucleus
MED10	Nucleus
MED11	Nucleus
MED12	Nucleus
MED12L	Nucleus
MED13	Nucleus
MED13L	Nucleus
MED14	Nucleus
MED16	Nucleus
MED17	Nucleus
MED18	Nucleus
MED19	Nucleus
MED20	Nucleus
MED21	Nucleus
MED22	Nucleus
MED23	Nucleus
MED24	Nucleus
MED25	Nucleus
MED26	Nucleus
MED27	Nucleus
MED29	Nucleus
MED30	Nucleus
MED31	Nucleus
MED4	Nucleus
MED6	Nucleus
MED7	Nucleus
MED8	Nucleus
MED9	Nucleus
MEDAG	cytosol
MEF2A	Nucleus
MEF2B	Nucleus
MEF2C	Nucleus
MEF2D	Nucleus
MEGF11	PM
MEGF8	Nucleus
MEIG1	Nucleus
MEIS1	Nucleus
MEIS3	Nucleus
MEIS3P1	Nucleus
MEIS3P2	Nucleus
MELK	PM
MEOX2	Nucleus
MESDC2	ER
MESP1	Nucleus
MESP2	Nucleus
MEST	ER
METAP1	cytosol
METAP1D	Mitochondrion
METAP2	cytosol
METTL1	Nucleus
METTL10	cytosol
METTL11B	Nucleus
METTL12	Mitochondrion
METTL14	Nucleus
METTL16	Nucleus
METTL17	Mitochondrion
METTL20	Mitochondrion
METTL21A	cytosol
METTL21B	cytosol
METTL21C	Nucleus
METTL22	Nucleus
METTL3	Nucleus
METTL7A	ER
MFAP3	PM
MFI2	PM
MFN1	Mitochondrion
MFNG	Golgi
MFRP	PM
MFSD12	lysosome
MFSD5	PM
MFSD8	lysosome
MGA	Nucleus
MGAM	PM
MGARP	Mitochondrion
MGAT1	Golgi
MGAT2	Golgi
MGAT3	Golgi
MGAT4A	Golgi
MGAT4B	Golgi
MGAT4C	Golgi
MGAT5	Golgi
MGAT5B	Golgi
MGME1	Mitochondrion
MGMT	Nucleus
MGST2	ER
MGST3	ER
MIA2	ER
MICAL1	CS
MICAL2	Nucleus
MICALCL	cytosol
MICALL1	endosome
MICB	PM
MICU1	Mitochondrion
MICU2	Mitochondrion
MICU3	Mitochondrion
MID2	CS
MIDN	Nucleus
MIEF1	Mitochondrion
MIEF2	Mitochondrion
MIER2	Nucleus
MIER3	Nucleus
MILR1	PM
MINA	Nucleus
MINOS1	Mitochondrion
MINPP1	ER
MIOX	cytosol
MIPEP	Mitochondrion
MIPOL1	Nucleus
MIS18BP1	Nucleus
MITF	Nucleus
MIXL1	Nucleus
MKKS	CS
MKL2	Nucleus
MKLN1	CS
MKRN3	Nucleus
MKS1	CS
MKX	Nucleus
MLEC	ER
MLH1	Nucleus
MLH3	Nucleus
MLLT1	Nucleus
MLLT10	Nucleus
MLLT3	Nucleus
MLLT4	CS
MLLT6	Nucleus
MLNR	PM
MLPH	cytosol
MLST8	cytosol
MLXIPL	Nucleus
MMAA	Mitochondrion
MMAB	Mitochondrion
MMACHC	cytosol
MMD	endosome
MMD2	Golgi
MME	PM
MMP11	Golgi
MMP23A	ER
MMP27	ER
MMS22L	Nucleus
MNAT1	Nucleus
MND1	Nucleus
MNS1	Nucleus
MNT	Nucleus
MNX1	Nucleus
MOB1A	cytosol
MOCOS	cytosol
MOCS2	cytosol
MOCS3	cytosol
MOG	PM
MOGAT1	ER
MOGAT2	ER
MOGAT3	ER
MOGS	ER
MOK	cytosol
MON2	cytosol
MORC1	Nucleus
MORC4	Nucleus
MORF4L1	Nucleus
MORF4L2	Nucleus
MORN3	Nucleus
MOS	cytosol
MOSPD3	ER
MOV10	CS
MOXD1	ER
MP68	Mitochondrion
MPC1	Mitochondrion
MPC1L	Mitochondrion
MPC2	Mitochondrion
MPI	cytosol
MPO	lysosome
MPP2	PM
MPP3	PM
MPP6	PM
MPP7	CS
MPRIP	CS
MPV17	Mitochondrion
MPV17L	Peroxisome
MPV17L2	Mitochondrion
MPZ	PM
MRAS	PM
MRC1	PM
MREG	PM
MRGBP	Nucleus
MRGPRE	PM
MRGPRF	PM
MRGPRG	PM
MRGPRX1	PM
MRGPRX2	PM
MRGPRX3	PM
MRGPRX4	PM
MRI	cytosol
MRM1	Mitochondrion
MRO	Nucleus
MRPL1	Mitochondrion
MRPL10	Mitochondrion
MRPL11	Mitochondrion
MRPL12	Mitochondrion
MRPL13	Mitochondrion
MRPL14	Mitochondrion
MRPL15	Mitochondrion
MRPL16	Mitochondrion
MRPL17	Mitochondrion
MRPL18	Mitochondrion
MRPL19	Mitochondrion
MRPL2	Mitochondrion
MRPL20	Mitochondrion
MRPL21	Mitochondrion
MRPL22	Mitochondrion
MRPL23	Mitochondrion
MRPL24	Mitochondrion
MRPL27	Mitochondrion
MRPL28	Mitochondrion
MRPL3	Mitochondrion
MRPL30	Mitochondrion
MRPL32	Mitochondrion
MRPL33	Mitochondrion
MRPL34	Mitochondrion
MRPL35	Mitochondrion
MRPL36	Mitochondrion
MRPL37	Mitochondrion
MRPL38	Mitochondrion
MRPL39	Mitochondrion
MRPL4	Mitochondrion
MRPL40	Mitochondrion
MRPL41	Mitochondrion
MRPL42	Mitochondrion
MRPL43	Mitochondrion
MRPL44	Mitochondrion
MRPL45	Mitochondrion
MRPL46	Mitochondrion
MRPL47	Mitochondrion
MRPL48	Mitochondrion
MRPL49	Mitochondrion
MRPL50	Mitochondrion
MRPL51	Mitochondrion
MRPL52	Mitochondrion
MRPL53	Mitochondrion
MRPL54	Mitochondrion
MRPL55	Mitochondrion
MRPL57	Mitochondrion
MRPL9	Mitochondrion
MRPS10	Mitochondrion
MRPS11	Mitochondrion
MRPS12	Mitochondrion
MRPS14	Mitochondrion
MRPS15	Mitochondrion
MRPS16	Mitochondrion
MRPS17	Mitochondrion
MRPS18A	Mitochondrion
MRPS18B	Mitochondrion
MRPS18C	Mitochondrion
MRPS2	Mitochondrion
MRPS21	Mitochondrion
MRPS22	Mitochondrion
MRPS23	Mitochondrion
MRPS24	Mitochondrion
MRPS25	Mitochondrion
MRPS26	Mitochondrion
MRPS27	Mitochondrion
MRPS28	Mitochondrion
MRPS30	Mitochondrion
MRPS31	Mitochondrion
MRPS33	Mitochondrion
MRPS34	Mitochondrion
MRPS35	Mitochondrion
MRPS36	Mitochondrion
MRPS5	Mitochondrion
MRPS6	Mitochondrion
MRPS7	Mitochondrion
MRPS9	Mitochondrion
MRRF	Mitochondrion
MRS2	Mitochondrion
MS4A1	PM
MS4A2	PM
MSANTD4	Nucleus
MSC	Nucleus
MSGN1	Nucleus
MSH2	Nucleus
MSH3	Nucleus
MSH5	CS
MSH6	Nucleus
MSI2	cytosol
MSL1	Nucleus
MSL2	Nucleus
MSL3	Nucleus
MSL3P1	Nucleus
MSMO1	ER
MSRB2	Mitochondrion
MST1R	PM
MSTO1	Mitochondrion
MSX1	Nucleus
MSX2	Nucleus
MT-ATP6	Mitochondrion
MT-ATP8	Mitochondrion
MT-CO1	Mitochondrion
MT-CO2	Mitochondrion
MT-CO3	Mitochondrion
MT-CYB	Mitochondrion
MT-ND1	Mitochondrion
MT-ND2	Mitochondrion
MT-ND3	Mitochondrion
MT-ND4	Mitochondrion
MT-ND4L	Mitochondrion
MT-ND5	Mitochondrion
MT-ND6	Mitochondrion
MTA2	Nucleus
MTA3	Nucleus
MTCH1	Mitochondrion
MTCH2	Mitochondrion
MTERF1	Mitochondrion
MTERF3	Mitochondrion
MTERF4	Mitochondrion
MTF1	Nucleus
MTF2	Nucleus
MTFMT	Mitochondrion
MTFP1	Mitochondrion
MTFR1	Mitochondrion
MTFR1L	Mitochondrion
MTFR2	Mitochondrion
MTG1	Mitochondrion
MTG2	Mitochondrion
MTHFD1	cytosol
MTHFD1L	Mitochondrion
MTHFD2	Mitochondrion
MTHFD2L	Mitochondrion
MTHFR	CS
MTHFS	cytosol
MTIF2	Mitochondrion
MTIF3	Mitochondrion
MTMR12	cytosol
MTMR7	cytosol
MTMR8	Nucleus
MTMR9	cytosol
MTNR1A	PM
MTNR1B	PM
MTO1	Mitochondrion
MTR	cytosol
MTRF1	Mitochondrion
MTRF1L	Mitochondrion
MTRR	cytosol
MTSS1	CS
MTTP	ER
MTUS2	CS
MTX1	Mitochondrion
MTX2	Mitochondrion
MTX3	Mitochondrion
MUC19	Golgi
MUC2	Golgi
MUC21	PM
MUC3A	Golgi
MUC3B	Golgi
MUC6	Golgi
MUC7	Golgi
MUCL1	Golgi
MUM1	Nucleus
MURC	CS
MUS81	Nucleus
MUSTN1	Nucleus
MUT	Mitochondrion
MUTYH	Nucleus
MVB12B	endosome
MVD	cytosol
MVK	cytosol
MXD1	Nucleus
MXD3	Nucleus
MXD4	Nucleus
MXI1	Nucleus
MYB	Nucleus
MYBL1	Nucleus
MYBL2	Nucleus
MYBPC1	CS
MYBPC2	CS
MYBPC3	CS
MYBPH	CS
MYC	Nucleus
MYCBP2	Nucleus
MYCL	Nucleus
MYCLP1	Nucleus
MYCN	Nucleus
MYCT1	Nucleus
MYD88	cytosol
MYEF2	Nucleus
MYF5	Nucleus
MYF6	Nucleus
MYH1	CS
MYH10	CS
MYH11	CS
MYH13	CS
MYH15	CS
MYH2	CS
MYH3	CS
MYH4	CS
MYH6	CS
MYH7	CS
MYH8	CS
MYH9	CS
MYL12A	cytosol
MYL12B	cytosol
MYL2	CS
MYL4	cytosol
MYL5	cytosol
MYL6B	cytosol
MYL7	CS
MYL9	cytosol
MYLK	CS
MYLK2	CS
MYLK3	cytosol
MYNN	Nucleus
MYO15A	CS
MYO15B	cytosol
MYO1E	CS
MYO1F	CS
MYO3A	CS
MYO3B	CS
MYO5B	cytosol
MYO7B	CS
MYOCD	Nucleus
MYOD1	Nucleus
MYOG	Nucleus
MYOM1	CS
MYOM2	CS
MYOM3	CS
MYOT	CS
MYOZ2	CS
MYOZ3	CS
MYPN	Nucleus
MYPOP	Nucleus
MYSM1	Nucleus
MYT1	Nucleus
MYT1L	Nucleus
MZF1	Nucleus
MZT1	CS
MZT2A	CS
MZT2B	CS
N4BP2	cytosol
N4BP2L2	Nucleus
N6AMT2	cytosol
NAA25	cytosol
NAA30	cytosol
NAA35	cytosol
NAA50	cytosol
NAA60	Golgi
NAAA	lysosome
NAALAD2	PM
NAALADL1	PM
NAB1	Nucleus
NAB2	Nucleus
NACC2	Nucleus
NADK	cytosol
NADK2	Mitochondrion
NADSYN1	cytosol
NAGA	lysosome
NAGLT1	PM
NAGLU	lysosome
NAGPA	Golgi
NAGS	Mitochondrion
NAIF1	Nucleus
NALCN	PM
NANOG	Nucleus
NANOGNB	Nucleus
NANOGP1	Nucleus
NANOGP8	Nucleus
NANP	cytosol
NANS	cytosol
NAP1L1	Nucleus
NAP1L2	Nucleus
NAP1L3	Nucleus
NAP1L4	Nucleus
NAP1L5	Nucleus
NAP1L6	Nucleus
NAPRT	cytosol
NARF	Nucleus
NARS	cytosol
NARS2	Mitochondrion
NAT1	cytosol
NAT14	Nucleus
NAT2	cytosol
NAT6	cytosol
NAV1	CS
NAV2	Nucleus
NAV3	Nucleus
NBAS	ER
NBEAL2	ER
NBPF1	cytosol
NBPF10	cytosol
NBPF11	cytosol
NBPF12	cytosol
NBPF14	cytosol
NBPF15	cytosol
NBPF16	cytosol
NBPF20	cytosol
NBPF26	cytosol
NBPF3	cytosol
NBPF4	cytosol
NBPF5P	cytosol
NBPF6	cytosol
NBPF7	cytosol
NBPF8	cytosol
NBPF9	cytosol
NCAM2	PM
NCAPD3	Nucleus
NCAPG2	Nucleus
NCAPH2	Nucleus
NCBP2L	Nucleus
NCCRP1	cytosol
NCDN	CS
NCEH1	ER
NCF1B	cytosol
NCF1C	cytosol
NCF2	cytosol
NCKAP5L	CS
NCLN	ER
NCOA1	Nucleus
NCOA2	Nucleus
NCOA4	Nucleus
NCOA5	Nucleus
NCOA6	Nucleus
NCOA7	Nucleus
NCOR1	Nucleus
NCOR2	Nucleus
NCR1	PM
NCR2	PM
NCR3	PM
NCR3LG1	PM
NDRG3	cytosol
NDRG4	cytosol
NDST1	Golgi
NDST2	Golgi
NDST3	Golgi
NDST4	Golgi
NDUFA1	Mitochondrion
NDUFA10	Mitochondrion
NDUFA11	Mitochondrion
NDUFA12	Mitochondrion
NDUFA2	Mitochondrion
NDUFA3	Mitochondrion
NDUFA4	Mitochondrion
NDUFA5	Mitochondrion
NDUFA6	Mitochondrion
NDUFA7	Mitochondrion
NDUFA8	Mitochondrion
NDUFA9	Mitochondrion
NDUFAB1	Mitochondrion
NDUFAF1	Mitochondrion
NDUFAF2	Mitochondrion
NDUFAF4	Mitochondrion
NDUFAF5	Mitochondrion
NDUFAF7	Mitochondrion
NDUFB1	Mitochondrion
NDUFB10	Mitochondrion
NDUFB11	Mitochondrion
NDUFB2	Mitochondrion
NDUFB3	Mitochondrion
NDUFB4	Mitochondrion
NDUFB5	Mitochondrion
NDUFB6	Mitochondrion
NDUFB7	Mitochondrion
NDUFB8	Mitochondrion
NDUFB9	Mitochondrion
NDUFC1	Mitochondrion
NDUFC2	Mitochondrion
NDUFC2-KCTD14	Mitochondrion
NDUFS1	Mitochondrion
NDUFS2	Mitochondrion
NDUFS3	Mitochondrion
NDUFS4	Mitochondrion
NDUFS5	Mitochondrion
NDUFS6	Mitochondrion
NDUFS7	Mitochondrion
NDUFS8	Mitochondrion
NDUFV1	Mitochondrion
NDUFV2	Mitochondrion
NDUFV3	Mitochondrion
NEB	CS
NEBL	cytosol
NECAB1	cytosol
NECAB2	cytosol
NECAB3	Golgi
NEDD1	CS
NEDD4L	cytosol
NEDD8	Nucleus
NEFL	CS
NEFM	CS
NEGR1	PM
NEIL2	Nucleus
NEIL3	Nucleus
NEK11	Nucleus
NEK3	CS
NEK4	CS
NEK8	CS
NELFA	Nucleus
NELFB	Nucleus
NELFCD	Nucleus
NELFE	Nucleus
NEMF	Nucleus
NEO1	PM
NES	CS
NETO2	CS
NEU2	cytosol
NEU3	PM
NEURL1B	cytosol
NEURL2	cytosol
NEUROD2	Nucleus
NEUROD4	Nucleus
NEUROD6	Nucleus
NEUROG1	Nucleus
NEUROG2	Nucleus
NEUROG3	Nucleus
NEXN	CS
NF1	Nucleus
NFAM1	PM
NFASC	PM
NFE2L3	Nucleus
NFE4	Nucleus
NFIA	Nucleus
NFIB	Nucleus
NFIC	Nucleus
NFIL3	Nucleus
NFIX	Nucleus
NFKBID	Nucleus
NFKBIE	cytosol
NFKBIZ	Nucleus
NFRKB	Nucleus
NFX1	Nucleus
NFXL1	Nucleus
NFYA	Nucleus
NFYB	Nucleus
NFYC	Nucleus
NGB	Mitochondrion
NGLY1	cytosol
NHEJ1	Nucleus
NHLH1	Nucleus
NHLH2	Nucleus
NHP2L1	Nucleus
NICN1	Nucleus
NIM1K	cytosol
NIN	CS
NINJ2	PM
NINL	CS
NIP7	Nucleus
NIPA1	PM
NIPA2	PM
NIPBL	Nucleus
NIT2	cytosol
NKAIN1	PM
NKAIN2	PM
NKAIN3	PM
NKAIN4	PM
NKAP	Nucleus
NKG7	PM
NKIRAS1	cytosol
NKIRAS2	cytosol
NKRF	Nucleus
NKX1-1	Nucleus
NKX1-2	Nucleus
NKX2-1	Nucleus
NKX2-2	Nucleus
NKX2-3	Nucleus
NKX2-4	Nucleus
NKX2-5	Nucleus
NKX2-6	Nucleus
NKX2-8	Nucleus
NKX3-1	Nucleus
NKX3-2	Nucleus
NKX6-1	Nucleus
NKX6-2	Nucleus
NKX6-3	Nucleus
NLE1	Nucleus
NLRC3	cytosol
NLRC4	CS
NLRC5	cytosol
NLRP12	cytosol
NLRP2	cytosol
NLRP4	cytosol
NLRP8	cytosol
NLRP9	cytosol
NLRX1	Mitochondrion
NMBR	PM
NME2P1	Nucleus
NME3	Mitochondrion
NME4	Mitochondrion
NME5	CS
NME6	Mitochondrion
NME7	CS
NME8	cytosol
NME9	CS
NMES1	Nucleus
NMI	cytosol
NMNAT1	Nucleus
NMNAT3	Mitochondrion
NMUR1	PM
NMUR2	PM
NNAT	cytosol
NNMT	cytosol
NNT	Mitochondrion
NO66	Nucleus
NOA1	Mitochondrion
NOB1	Nucleus
NOBOX	Nucleus
NOC3L	Nucleus
NOL10	Nucleus
NOL11	Nucleus
NOL12	Nucleus
NOL4	Nucleus
NOL7	Nucleus
NOL9	Nucleus
NOM1	Nucleus
NOMO2	ER
NOP10	Nucleus
NOP14	Nucleus
NOP16	Nucleus
NOP2	Nucleus
NOP58	Nucleus
NOTO	Nucleus
NOVA1	Nucleus
NOVA2	Nucleus
NOX5	ER
NOXA1	cytosol
NOXO1	PM
NPAP1	Nucleus
NPAS1	Nucleus
NPAS2	Nucleus
NPAS3	Nucleus
NPAS4	Nucleus
NPBWR1	PM
NPBWR2	PM
NPC1	endosome
NPFFR1	PM
NPFFR2	PM
NPHP1	CS
NPHP3	CS
NPHP4	CS
NPIPA1	Nucleus
NPL	cytosol
NPM3	Nucleus
NPR1	PM
NPR2	PM
NPR3	PM
NPY	Golgi
NPY1R	PM
NPY2R	PM
NPY4R	PM
NPY5R	PM
NPY6R	PM
NQO1	cytosol
NQO2	cytosol
NR1D2	Nucleus
NR1H2	Nucleus
NR1H3	Nucleus
NR1H4	Nucleus
NR1I2	Nucleus
NR2C2	Nucleus
NR2C2AP	Nucleus
NR2E1	Nucleus
NR2E3	Nucleus
NR2F1	Nucleus
NR2F2	Nucleus
NR2F6	Nucleus
NR4A3	Nucleus
NR5A1	Nucleus
NR5A2	Nucleus
NR6A1	Nucleus
NRAC	PM
NRAP	CS
NRBP2	cytosol
NREP	cytosol
NRF1	Nucleus
NRIP2	Nucleus
NRK	cytosol
NRL	Nucleus
NRM	Nucleus
NRN1L	PM
NSA2	Nucleus
NSD1	Nucleus
NSF	cytosol
NSG1	Golgi
NSL1	Nucleus
NSMCE1	Nucleus
NSMCE4A	Nucleus
NSRP1	Nucleus
NSUN4	Mitochondrion
NSUN5	Nucleus
NT5C	cytosol
NT5C1A	cytosol
NT5C1B	cytosol
NT5C2	cytosol
NT5C3B	cytosol
NT5E	PM
NT5M	Mitochondrion
NTAN1	cytosol
NTM	PM
NTMT1	Nucleus
NTN3	Golgi
NTN4	PM
NTNG1	PM
NTNG2	PM
NTRK2	PM
NTSR2	PM
NUAK2	cytosol
NUB1	Nucleus
NUBPL	Mitochondrion
NUCKS1	Nucleus
NUDT10	cytosol
NUDT11	cytosol
NUDT12	Peroxisome
NUDT13	Mitochondrion
NUDT14	cytosol
NUDT15	cytosol
NUDT16L1	cytosol
NUDT18	cytosol
NUDT19	Peroxisome
NUDT2	Mitochondrion
NUDT22	Nucleus
NUDT3	cytosol
NUDT4	cytosol
NUDT7	Peroxisome
NUDT8	Mitochondrion
NUDT9	Mitochondrion
NUFIP1	Nucleus
NUGGC	Nucleus
NUMBL	cytosol
NUP155	Nucleus
NUP160	Nucleus
NUP188	Nucleus
NUP37	Nucleus
NUP43	Nucleus
NUP54	Nucleus
NUP62CL	Nucleus
NUP88	Nucleus
NUP93	Nucleus
NUPL1	Nucleus
NUPR1	Nucleus
NUPR1L	Nucleus
NUS1	ER
NUTF2	cytosol
NWD1	cytosol
OAT	Mitochondrion
OAZ1	cytosol
OAZ2	Nucleus
OBFC1	Nucleus
OBSCN	CS
OCIAD1	endosome
OCIAD2	endosome
ODF1	Nucleus
ODF2L	CS
ODF3	cytosol
ODF3L2	CS
OGDH	Mitochondrion
OGDHL	Mitochondrion
OIT3	Nucleus
OLIG1	Nucleus
OLIG3	Nucleus
OMA1	Mitochondrion
OMG	PM
OMP	cytosol
ONECUT1	Nucleus
ONECUT2	Nucleus
ONECUT3	Nucleus
OOEP	CS
OPA1	Mitochondrion
OPA3	Mitochondrion
OPALIN	PM
OPCML	PM
OPHN1	CS
OPLAH	cytosol
OPN1MW	PM
OPN3	PM
OPN4	PM
OPRD1	PM
OPRK1	PM
OR10A2	PM
OR10A3	PM
OR10A4	PM
OR10A5	PM
OR10A6	PM
OR10A7	PM
OR10AC1P	PM
OR10AD1	PM
OR10AG1	PM
OR10C1	PM
OR10D3	PM
OR10D4P	PM
OR10G2	PM
OR10G3	PM
OR10G4	PM
OR10G6	PM
OR10G7	PM
OR10G8	PM
OR10G9	PM
OR10H1	PM
OR10H2	PM
OR10H3	PM
OR10H4	PM
OR10H5	PM
OR10J1	PM
OR10J3	PM
OR10J4	PM
OR10J5	PM
OR10J6P	PM
OR10K1	PM
OR10K2	PM
OR10P1	PM
OR10Q1	PM
OR10R2	PM
OR10S1	PM
OR10T2	PM
OR10V1	PM
OR10W1	PM
OR10X1	PM
OR10Z1	PM
OR11A1	PM
OR11G2	PM
OR11H1	PM
OR11H12	PM
OR11H2	PM
OR11H4	PM
OR11H6	PM
OR11H7	PM
OR11L1	PM
OR12D2	PM
OR12D3	PM
OR13A1	PM
OR13C2	PM
OR13C3	PM
OR13C4	PM
OR13C5	PM
OR13C6P	PM
OR13C8	PM
OR13C9	PM
OR13D1	PM
OR13F1	PM
OR13G1	PM
OR13H1	PM
OR13J1	PM
OR14A16	PM
OR14A2	PM
OR14C36	PM
OR14I1	PM
OR14J1	PM
OR14K1	PM
OR14L1P	PM
OR1A1	PM
OR1A2	PM
OR1B1	PM
OR1C1	PM
OR1D2	PM
OR1D4	PM
OR1D5	PM
OR1E1	PM
OR1E2	PM
OR1E3	PM
OR1F1	PM
OR1F12	PM
OR1F2P	PM
OR1G1	PM
OR1I1	PM
OR1J1	PM
OR1J2	PM
OR1J4	PM
OR1K1	PM
OR1L1	PM
OR1L3	PM
OR1L4	PM
OR1L6	PM
OR1L8	PM
OR1M1	PM
OR1N1	PM
OR1N2	PM
OR1P1	PM
OR1Q1	PM
OR1S1	PM
OR1S2	PM
OR2A1	PM
OR2A12	PM
OR2A14	PM
OR2A2	PM
OR2A25	PM
OR2A4	PM
OR2A5	PM
OR2A7	PM
OR2AE1	PM
OR2AG1	PM
OR2AG2	PM
OR2AJ1	PM
OR2AK2	PM
OR2AP1	PM
OR2AT4	PM
OR2B11	PM
OR2B2	PM
OR2B3	PM
OR2B6	PM
OR2B8P	PM
OR2C1	PM
OR2C3	PM
OR2D2	PM
OR2D3	PM
OR2F1	PM
OR2F2	PM
OR2G2	PM
OR2G3	PM
OR2G6	PM
OR2H1	PM
OR2H2	PM
OR2I1P	PM
OR2J1	PM
OR2J2	PM
OR2J3	PM
OR2K2	PM
OR2L13	PM
